mean_unexpcost,median_unexpcost,mean_return,median_return,mean_stdcost,median_stdcost,mean_pocost,median_pocost,mean_qty,median_qty,mean_return_qty,median_return_qty,mean_costsave,median_costsave,mean_spend,median_spend,mean_return_spend,median_return_spend,mean_leadtime,median_leadtime,mean_abc,median_abc,mean_source,median_source,Category,mean_late,median_late,mean_early,median_early,%Critical,SupplierID,quality_risk_mean,quality_risk_median,delivery_risk_mean,delivery_risk_median
1.97119341564,2.0,1.0987654321,1,5.0,5.0,5.0,5.0,1.89451476793,2.0,1.0,1.0,2.04526748971,1.0,2.96202531646,3.0,1.0,1.0,1.36625514403,1.0,2.8683127572,1,4.96296296296,5.0,Accessories/OEM,1.03007518797,1.0,4.78195488722,5.0,1,7242,1.04166666667,1.0,1.58333333333,1.0
2.71428571429,3.0,1.0,1,4.78571428571,5.0,4.78571428571,5.0,1.28571428571,1.0,1.0,1.0,3.64285714286,3.0,1.5,1.0,1.0,1.0,1.0,1.0,2.28571428571,3,4.78571428571,5.0,Cable/Conn/Wire,1.0,1.0,4.5,5.0,1,7242,1.04166666667,1.0,1.58333333333,1.0
1.35294117647,1.0,1.70588235294,1,3.0,3.0,2.41176470588,2.0,2.28571428571,2.0,1.11764705882,1.0,3.82352941176,3.0,1.14285714286,1.0,1.0,1.0,2.0,2.0,1.0,1,3.23529411765,2.0,Fabrication,1.0,1.0,3.5,5.0,1,7846,1.11111111111,1.0,1.0,1.0
1.875,2.0,1.0,1,4.0,4.0,4.0,4.0,2.25,2.0,1.0,1.0,3.5,5.0,2.5,2.5,1.0,1.0,3.0,3.0,1.0,1,2.0,2.0,Accessories/OEM,1.0,1.0,5.0,5.0,1,14541,1.0,1.0,1.0,1.0
1.66666666667,2.0,1.0,1,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,3.0,1.33333333333,1.0,1.0,1.0,2.0,2.0,1.0,1,4.0,5.0,Unknown,1.0,1.0,5.0,5.0,1,15342,1.08695652174,1.0,2.5652173913,2.0
2.48639455782,3.0,1.01554907677,1,4.11516034985,4.0,4.13896987366,4.0,1.14341463415,1.0,1.00048590865,1.0,3.11613216715,3.0,1.24292682927,1.0,1.0019436346,1.0,1.71185617104,2.0,2.75996112731,3,2.33527696793,2.0,Cable/Conn/Wire,1.06996381182,1.0,4.65621230398,5.0,1,15342,1.08695652174,1.0,2.5652173913,2.0
1.11764705882,1.0,1.0,1,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.23529411765,1.0,2.41176470588,3.0,1.0,1.0,2.0,2.0,5.0,5,5.0,5.0,Elect Comp,1.0,1.0,5.0,5.0,1,17035,1.0,1.0,3.0,3.0
2.63636363636,1.0,1.36363636364,1,2.27272727273,3.0,2.27272727273,3.0,2.1,2.0,1.0,1.0,3.18181818182,3.0,1.1,1.0,1.0,1.0,2.0,2.0,1.0,1,2.0,2.0,Elect Comp,1.0,1.0,4.625,5.0,1,24139,1.04166666667,1.0,2.29166666667,2.0
2.18457481872,2.0,1.05800922874,1,1.21094264997,1.0,1.2237969677,1.0,3.22575250836,3.0,1.02735662492,1.0,2.75543836519,3.0,1.02975593447,1.0,1.00032959789,1.0,1.52537903757,1.0,1.19248516809,1,4.20566908372,5.0,Fabrication,1.00516674495,1.0,4.74682949742,5.0,1,24139,1.04166666667,1.0,2.29166666667,2.0
2.23076923077,2.0,1.0,1,1.53846153846,2.0,2.61538461538,2.0,1.76923076923,1.0,1.0,1.0,3.23076923077,3.0,1.0,1.0,1.0,1.0,2.15384615385,1.0,1.0,1,5.0,5.0,Indirect,1.0,1.0,5.0,5.0,1,24139,1.04166666667,1.0,2.29166666667,2.0
1.76923076923,2.0,1.20512820513,1,1.89743589744,2.0,1.79487179487,2.0,2.16216216216,2.0,1.02564102564,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.17948717949,3.0,1.0,1,4.30769230769,5.0,Unknown,1.0,1.0,4.8431372549,5.0,1,24139,1.04166666667,1.0,2.29166666667,2.0
2.05970149254,2.0,1.0,1,1.23880597015,1.0,1.22388059701,1.0,3.62686567164,4.0,1.0,1.0,2.9552238806,3.0,1.05970149254,1.0,1.0,1.0,1.29850746269,1.0,1.05970149254,1,4.67164179104,5.0,Cable/Conn/Wire,1.0,1.0,4.71014492754,5.0,1,24139,1.04166666667,1.0,2.29166666667,2.0
2.30402384501,2.0,1.10730253353,1,1.37704918033,1.0,1.39940387481,1.0,3.18683001531,3.0,1.04918032787,1.0,2.81073025335,3.0,1.00306278714,1.0,1.0,1.0,1.29210134128,1.0,1.03576751118,1,4.60208643815,5.0,Fabrication,1.01017811705,1.0,4.73536895674,5.0,1,24261,1.16666666667,1.0,2.08333333333,1.0
2.0,2.0,1.12121212121,1,1.0,1.0,1.0,1.0,3.75,4.0,1.09090909091,1.0,1.21212121212,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2.0,2.0,Indirect,1.0,1.0,5.0,5.0,1,24261,1.16666666667,1.0,2.08333333333,1.0
2.0,2.0,1.0,1,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1,5.0,5.0,Unknown,1.0,1.0,5.0,5.0,1,24261,1.16666666667,1.0,2.08333333333,1.0
1.0,1.0,1.0,1,5.0,5.0,5.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,5.0,5,5.0,5.0,Fabrication,1.0,1.0,5.0,5.0,1,28941,1.2,1.0,1.35,1.0
2.15555555556,2.0,1.53333333333,1,5.0,5.0,5.0,5.0,1.33333333333,1.0,1.0,1.0,2.73333333333,3.0,2.97435897436,3.0,1.22222222222,1.0,2.26666666667,2.0,1.84444444444,1,3.33333333333,2.0,Accessories/OEM,1.0,1.0,5.0,5.0,2,28941,1.2,1.0,1.35,1.0
1.5625,1.0,1.0,1,2.75,3.0,2.6875,3.0,2.4375,3.0,1.0,1.0,4.375,5.0,1.4375,1.0,1.0,1.0,1.75,2.0,2.5,3,2.1875,2.0,Fabrication,1.0,1.0,4.2,5.0,1,32051,1.0,1.0,1.79166666667,1.5
4.0,4.0,1.0,1,2.5,2.5,2.5,2.5,2.0,2.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1,3.5,3.5,Cable/Conn/Wire,1.0,1.0,4.42857142857,5.0,1,32051,1.0,1.0,1.79166666667,1.5
2.25,2.0,1.0,1,2.75,3.0,2.75,3.0,1.25,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,3.5,3.5,Unknown,1.0,1.0,5.0,5.0,1,32051,1.0,1.0,1.79166666667,1.5
1.41666666667,1.0,1.0,1,3.5,3.0,3.5,3.0,2.0,2.0,1.0,1.0,1.91666666667,1.0,1.33333333333,1.0,1.0,1.0,1.91666666667,2.0,1.66666666667,1,4.0,5.0,Accessories/OEM,1.0,1.0,5.0,5.0,1,32051,1.0,1.0,1.79166666667,1.5
2.45454545455,2.5,1.0,1,1.68181818182,1.0,1.68181818182,1.0,2.86363636364,3.0,1.0,1.0,2.90909090909,3.0,1.27272727273,1.0,1.0,1.0,1.54545454545,1.0,1.90909090909,1,2.40909090909,2.0,Elect Comp,1.0,1.0,5.0,5.0,1,32051,1.0,1.0,1.79166666667,1.5
3.0,3.0,1.0,1,2.5,2.5,2.5,2.5,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1,3.5,3.5,Accessories/OEM,1.0,1.0,5.0,5.0,1,34924,1.0,1.0,3.83333333333,5.0
4.14285714286,5.0,1.0,1,1.85714285714,2.0,2.42857142857,2.0,3.42857142857,4.0,1.0,1.0,4.71428571429,5.0,1.71428571429,2.0,1.0,1.0,3.42857142857,4.0,2.42857142857,3,2.14285714286,2.0,Cable/Conn/Wire,1.0,1.0,5.0,5.0,1,34924,1.0,1.0,3.83333333333,5.0
2.84615384615,4.0,1.30769230769,1,2.76923076923,3.0,3.0,3.0,2.25,2.0,1.0,1.0,4.23076923077,5.0,1.5,1.0,1.0,1.0,3.38461538462,3.0,1.15384615385,1,4.07692307692,5.0,OCF,1.0,1.0,5.0,5.0,2,34924,1.0,1.0,3.83333333333,5.0
3.56171284635,4.0,1.28211586902,1,2.5516372796,3.0,3.01259445844,3.0,3.15989159892,4.0,1.1234256927,1.0,4.28967254408,5.0,2.33333333333,2.0,1.08060453401,1.0,3.60201511335,4.0,2.91435768262,3,2.27959697733,2.0,Elect Comp,1.03846153846,1.0,4.78846153846,5.0,1,34924,1.0,1.0,3.83333333333,5.0
4.0,5.0,1.0,1,2.33333333333,2.0,3.0,3.0,3.33333333333,3.0,1.0,1.0,3.0,3.0,1.66666666667,2.0,1.0,1.0,3.66666666667,4.0,1.66666666667,1,2.66666666667,2.0,Unknown,1.0,1.0,5.0,5.0,1,34924,1.0,1.0,3.83333333333,5.0
1.97777777778,2.0,1.17777777778,1,2.0,2.0,2.0,2.0,3.88372093023,4.0,1.13333333333,1.0,2.64444444444,3.0,1.74418604651,2.0,1.04444444444,1.0,1.0,1.0,4.2,5,4.93333333333,5.0,Indirect,1.0,1.0,4.71428571429,5.0,1,35254,1.0,1.0,1.10526315789,1.0
3.0,3.0,1.0,1,2.5,2.5,2.5,2.5,2.33333333333,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,2.0,2.0,Cable/Conn/Wire,1.0,1.0,5.0,5.0,1,37249,1.375,1.0,3.875,4.0
2.06617647059,2.0,1.03361344538,1,3.41071428571,3.0,3.41701680672,3.0,1.60805084746,1.0,1.00525210084,1.0,3.1743697479,3.0,1.35593220339,1.0,1.00525210084,1.0,1.94432773109,2.0,2.27731092437,1,3.20693277311,2.0,Fabrication,1.0,1.0,4.81438515081,5.0,2,37249,1.375,1.0,3.875,4.0
1.88888888889,1.0,1.0,1,3.0,3.0,2.88888888889,3.0,1.55555555556,1.0,1.0,1.0,4.11111111111,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,5.0,5.0,Fabrication,1.0,1.0,5.0,5.0,1,38407,1.0,1.0,1.0,1.0
1.97503285151,2.0,1.15243101183,1,3.15900131406,3.0,3.11432325887,3.0,2.21994535519,2.0,1.02496714849,1.0,3.00657030223,3.0,1.77322404372,2.0,1.02102496715,1.0,2.01576872536,2.0,4.07490144547,5,2.8988173456,2.0,Cable/Conn/Wire,1.0,1.0,4.75816993464,5.0,4,40711,1.45833333333,1.0,3.25,4.0
1.625,1.0,1.16666666667,1,3.08333333333,3.0,3.0,3.0,2.47826086957,3.0,1.08333333333,1.0,1.83333333333,1.0,1.82608695652,2.0,1.04166666667,1.0,2.91666666667,3.0,4.5,5,2.125,2.0,OCF,1.0,1.0,5.0,5.0,1,43974,1.0,1.0,1.0,1.0
2.025,2.0,1.1,1,2.85,3.0,2.875,3.0,2.15384615385,2.0,1.0,1.0,3.875,4.5,1.02564102564,1.0,1.0,1.0,2.0,2.0,2.7,3,5.0,5.0,Accessories/OEM,1.0,1.0,5.0,5.0,1,47058,1.2,1.0,1.2,1.0
