mean_stdcost,median_stdcost,mean_pocost,median_pocost,mean_qty,median_qty,mean_return_qty,median_return_qty,mean_costsave,median_costsave,mean_spend,median_spend,mean_return_spend,median_return_spend,mean_leadtime,median_leadtime,mean_abc,median_abc,mean_source,median_source,num_orders_purch,num_returns_purch,Supplier ID,Category,mean_late,median_late,mean_early,median_early,num_transactions_expo,%Late,%Early,%Critical
5.0,5.0,5.0,5.0,1.05263157895,1.0,1.0,1.0,3.07894736842,3.0,2.73684210526,3.0,1.0,1.0,1.86842105263,2.0,4.05263157895,5,5.0,5.0,38,0,S082,Accessories/OEM,1.0,1.0,4.92307692308,4.92307692308,13,1,5,2
2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,2.0,2.0,1,0,S082,Fabrication,1.0,1.0,5.0,5.0,1,1,5,1
5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.66666666667,1.0,3.55555555556,3.5,1.44444444444,1.0,3.0,3.0,4.33333333333,5,5.0,5.0,16,2,S083,Accessories/OEM,1.0,1.0,5.0,5.0,6,1,5,3
1.7,2.0,1.4,1.0,3.6,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.1,2.0,1.0,1,1.9,2.0,10,0,S087,Magnetics,1.0,1.0,5.0,5.0,7,1,5,1
3.0,3.0,3.0,3.0,1.83333333333,2.0,1.0,1.0,2.5,2.5,1.16666666667,1.0,1.0,1.0,2.0,2.0,1.0,1,2.0,2.0,6,0,S087,User Interfaces,1.0,1.0,5.0,5.0,4,1,5,1
1.66666666667,1.0,1.83333333333,1.5,3.5,4.0,1.0,1.0,3.25,3.0,1.25,1.0,1.0,1.0,3.0,3.0,1.33333333333,1,3.33333333333,3.5,12,0,S087,Unknown,1.0,1.0,4.55555555556,4.55555555556,9,1,5,1
2.02222222222,2.0,1.95555555556,1.5,3.41111111111,4.0,1.12222222222,1.0,2.47777777778,3.0,1.26666666667,1.0,1.04444444444,1.0,2.66666666667,3.0,1.77777777778,1,3.87777777778,5.0,84,6,S087,OCF,1.0,1.0,5.0,5.0,45,1,5,1
1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,5.0,5.0,1,0,S087,Indirect,1.0,1.0,5.0,5.0,1,1,5,1
3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,1.66666666667,1.0,1.0,1.0,4.0,4.0,3.0,3,5.0,5.0,3,0,S087,Antenna,1.0,1.0,5.0,5.0,1,1,5,5
1.43347692308,1.0,1.43987692308,1.0,3.90412307692,4.0,1.0352,1.0,2.47753846154,3.0,1.21538461538,1.0,1.00467692308,1.0,2.85464615385,2.0,1.90806153846,1,2.79076923077,2.0,8008,117,S087,Elect Comp,1.02544220984,1.0,4.65059365156,4.65059365156,4127,1,5,1
